codigo;fechareg;origen;documento;valor;estado;tipo_mov
1962;2019-01-01;7;0;2401200;S;101
2554;2019-01-01;7;0;120000;S;101
1948;2019-01-01;7;0;287820;S;101
319;2019-01-01;7;0;7693333;S;101
313;2019-01-01;7;0;7693333;S;101
314;2019-01-01;7;0;7693333;S;101
317;2019-01-01;7;0;7693333;S;101
318;2019-01-01;7;0;7693333;S;101
310;2019-01-01;7;0;2166666;S;101
311;2019-01-01;7;0;2166666;S;101
315;2019-01-01;7;0;7693333;S;101
321;2019-01-01;7;0;7693333;S;101
322;2019-01-01;7;0;7693333;S;101
323;2019-01-01;7;0;7693333;S;101
324;2019-01-01;7;0;2456667;S;101
326;2019-01-01;7;0;1933750;S;101
320;2019-01-01;7;0;7693333;S;101
325;2019-01-01;7;0;1933750;S;101
316;2019-01-01;7;0;7693333;S;101
308;2019-01-01;7;0;6252400;S;101
309;2019-01-01;7;0;2166666;S;101
9;2019-01-01;7;0;26569;S;101
10;2019-01-01;7;0;26569;S;101
11;2019-01-01;7;0;52200;S;101
72;2019-01-01;7;0;378800;S;101
73;2019-01-01;7;0;378800;S;101
2356;2019-01-01;7;0;2380000;S;101
74;2019-01-01;7;0;378800;S;101
75;2019-01-01;7;0;378800;S;101
2505;2019-01-01;7;0;1505680;S;101
2545;2019-01-01;7;0;662592;S;101
80;2019-01-01;7;0;498000;S;101
81;2019-01-01;7;0;498000;S;101
82;2019-01-01;7;0;498000;S;101
83;2019-01-01;7;0;498000;S;101
76;2019-01-01;7;0;1189000;S;101
77;2019-01-01;7;0;1189000;S;101
78;2019-01-01;7;0;1189000;S;101
79;2019-01-01;7;0;1189000;S;101
19;2019-01-01;7;0;284200;S;101
286;2019-01-01;7;0;2023085;S;101
287;2019-01-01;7;0;2023085;S;101
290;2019-01-01;7;0;2449000;S;101
291;2019-01-01;7;0;2449000;S;101
288;2019-01-01;7;0;2449000;S;101
289;2019-01-01;7;0;2449000;S;101
292;2019-01-01;7;0;2023085;S;101
293;2019-01-01;7;0;2023085;S;101
1683;2019-01-01;7;0;639160;S;101
1678;2019-01-01;7;0;388918;S;101
398;2019-01-01;7;0;531533;S;101
395;2019-01-01;7;0;531533;S;101
396;2019-01-01;7;0;531533;S;101
397;2019-01-01;7;0;531533;S;101
405;2019-01-01;7;0;2895667;S;101
1684;2019-01-01;7;0;639160;S;101
1677;2019-01-01;7;0;330669;S;101
1679;2019-01-01;7;0;388918;S;101
394;2019-01-01;7;0;531533;S;101
1681;2019-01-01;7;0;639160;S;101
1682;2019-01-01;7;0;639160;S;101
1685;2019-01-01;7;0;580000;S;101
1686;2019-01-01;7;0;4742685;S;101
2337;2019-01-01;7;0;545200;S;101
2338;2019-01-01;7;0;545200;S;101
2339;2019-01-01;7;0;545200;S;101
2340;2019-01-01;7;0;545200;S;101
2341;2019-01-01;7;0;545200;S;101
2342;2019-01-01;7;0;545200;S;101
2343;2019-01-01;7;0;545200;S;101
2344;2019-01-01;7;0;545200;S;101
2345;2019-01-01;7;0;545200;S;101
2765;2019-01-01;7;0;18450000;S;101
2549;2019-01-01;7;0;1640000;S;101
2547;2019-01-01;7;0;3750000;S;101
2548;2019-01-01;7;0;3750000;S;101
51;2019-01-01;7;0;22096;S;101
52;2019-01-01;7;0;22096;S;101
53;2019-01-01;7;0;22096;S;101
54;2019-01-01;7;0;22096;S;101
55;2019-01-01;7;0;22096;S;101
56;2019-01-01;7;0;22096;S;101
57;2019-01-01;7;0;22096;S;101
58;2019-01-01;7;0;22096;S;101
59;2019-01-01;7;0;22096;S;101
60;2019-01-01;7;0;22096;S;101
61;2019-01-01;7;0;22096;S;101
62;2019-01-01;7;0;22096;S;101
63;2019-01-01;7;0;22096;S;101
64;2019-01-01;7;0;22096;S;101
65;2019-01-01;7;0;22096;S;101
66;2019-01-01;7;0;22096;S;101
67;2019-01-01;7;0;22096;S;101
68;2019-01-01;7;0;22096;S;101
69;2019-01-01;7;0;22096;S;101
70;2019-01-01;7;0;22096;S;101
177;2019-01-01;7;0;1276000;S;101
84;2019-01-01;7;0;123958;S;101
85;2019-01-01;7;0;123958;S;101
86;2019-01-01;7;0;123958;S;101
87;2019-01-01;7;0;123958;S;101
88;2019-01-01;7;0;123958;S;101
89;2019-01-01;7;0;123958;S;101
90;2019-01-01;7;0;123958;S;101
91;2019-01-01;7;0;123958;S;101
92;2019-01-01;7;0;123958;S;101
93;2019-01-01;7;0;123958;S;101
94;2019-01-01;7;0;123958;S;101
95;2019-01-01;7;0;123958;S;101
96;2019-01-01;7;0;123958;S;101
97;2019-01-01;7;0;123958;S;101
98;2019-01-01;7;0;123958;S;101
99;2019-01-01;7;0;123958;S;101
100;2019-01-01;7;0;123958;S;101
101;2019-01-01;7;0;123958;S;101
102;2019-01-01;7;0;123958;S;101
103;2019-01-01;7;0;123958;S;101
104;2019-01-01;7;0;123958;S;101
105;2019-01-01;7;0;123958;S;101
106;2019-01-01;7;0;123958;S;101
107;2019-01-01;7;0;123958;S;101
108;2019-01-01;7;0;123958;S;101
109;2019-01-01;7;0;123958;S;101
110;2019-01-01;7;0;123958;S;101
111;2019-01-01;7;0;123958;S;101
112;2019-01-01;7;0;123958;S;101
113;2019-01-01;7;0;123958;S;101
114;2019-01-01;7;0;123958;S;101
115;2019-01-01;7;0;123958;S;101
116;2019-01-01;7;0;123958;S;101
117;2019-01-01;7;0;123958;S;101
118;2019-01-01;7;0;123958;S;101
119;2019-01-01;7;0;123958;S;101
120;2019-01-01;7;0;123958;S;101
121;2019-01-01;7;0;123958;S;101
122;2019-01-01;7;0;123958;S;101
123;2019-01-01;7;0;123958;S;101
124;2019-01-01;7;0;123958;S;101
125;2019-01-01;7;0;123958;S;101
126;2019-01-01;7;0;123958;S;101
127;2019-01-01;7;0;123958;S;101
128;2019-01-01;7;0;123958;S;101
129;2019-01-01;7;0;123958;S;101
130;2019-01-01;7;0;123958;S;101
131;2019-01-01;7;0;123958;S;101
2544;2019-01-01;7;0;591744;S;101
2355;2019-01-01;7;0;1858780;S;101
1978;2019-01-01;7;0;300691;S;101
1981;2019-01-01;7;0;300691;S;101
1979;2019-01-01;7;0;300691;S;101
1980;2019-01-01;7;0;300691;S;101
2583;2019-01-01;7;0;120000;S;101
2584;2019-01-01;7;0;120000;S;101
2585;2019-01-01;7;0;120000;S;101
2586;2019-01-01;7;0;120000;S;101
2587;2019-01-01;7;0;120000;S;101
2588;2019-01-01;7;0;120000;S;101
2589;2019-01-01;7;0;120000;S;101
2590;2019-01-01;7;0;120000;S;101
2591;2019-01-01;7;0;120000;S;101
2592;2019-01-01;7;0;120000;S;101
2593;2019-01-01;7;0;120000;S;101
2570;2019-01-01;7;0;95000;S;101
