S	212350223	10103	2020	CGN2015_002_OPERACIONES_RECIPROCAS_CONVERGENCIA
D	1.1.10.05	11500000	-3669277.99	0
D	1.1.10.06	11500000	5096080776.36	0
D	1.3.37.05	11500000	501362356.8	0
D	1.3.37.07	11500000	3746226.8	0
D	1.9.04.04	11500000	-485247221.11	0
D	2.4.07.26	11500000	-7021302	0
D	2.4.90.34	11500000	7816100	0
D	3.1.09.02	11500000	0	-64988086.04
D	4.4.08.19	11500000	0	826159602.8
D	4.4.08.21	11500000	0	7076359.8
D	4.4.08.24	11500000	0	-35652488
D	4.8.02.32	11500000	0	0
D	5.1.03.06	11500000	0	24128000
D	5.1.04.04	11500000	0	7816100
D	5.5.02.06	11500000	0	37276591
D	5.5.02.10	11500000	0	407288000
