Id_Entidad;NIT:cv;Nombre;Depto;Municipio;Consecutivo
10200000;899999067:2;Contraloría General de la República;00;000;00460
10400000;899999027:8;Departamento Administrativo Nacional de Estadística;00;000;00569
10500000;899999011:0;Departamento Nacional de Planeación;00;000;00603
10600000;899999083:0;Departamento Administrativo de la Presidencia de la República;00;000;00563
10800000;899999020:7;Departamento Administrativo de la Función Pública;00;000;00562
10900000;899999028:5;Ministerio de Agricultura y Desarrollo Rural;00;000;02983
11000000;899999053:1;Ministerio de Tecnologías de la Información y las Comunicaciones;00;000;02994
11100000;899999003:1;Ministerio de Defensa Nacional;00;000;02986
11300000;899999001:7;Ministerio de Educación Nacional;00;000;02987
11500000;899999090:2;Ministerio de Hacienda y Crédito Público;00;000;02988
11700000;899999022:1;Ministerio de Minas y Energía;00;000;02991
11800000;899999055:4;Ministerio de Transporte;00;000;02995
11900000;899999042:9;Ministerio de Relaciones Exteriores;00;000;02992
12200000;899999119:7;Procuraduría General de la Nación;00;000;03194
12300000;800141397:5;Policía Nacional;00;000;03183
12400000;800093816:3;Consejo Superior de la Judicatura;00;000;00456
12700000;899999050:8;U.A.E. de Organizaciones Solidarias;00;000;03644
12800000;800176089:2;Superintendencia de Industria y Comercio;00;000;03507
13000000;899999086:2;Superintendencia de Sociedades;00;000;03510
13200000;899999040:4;Registraduría Nacional del Estado Civil;00;000;03257
13400000;890999057:6;Superintendencia Financiera de Colombia;00;000;03513
13700000;800152783:2;Fiscalía General de la Nación;00;000;02230
13900000;899999098:0;Cámara de Representantes;00;000;00292
14000000;899999103:1;Senado de la República;00;000;03436
14100000;830034348:5;Ministerio de Cultura;00;000;02990
14300000;830125996:9;Agencia Nacional de Infraestructura;00;000;00024
14500000;830127607:8;U.A.E. Agencia Nacional de Hidrocarburos;00;000;03626
14600000;860530751:7;Fondo de Cobertura de Tasas - FOGAFIN;00;000;02245
20100000;860041247:8;Instituto de Casas Fiscales del Ejército;00;000;02530
20188000;827000481:1;Sociedad de Televisión de las Islas;00;000;03469
20615000;891800260:4;Colegio de Boyacá;15;000;00420
20752000;891222322:2;Corporación Autónoma Regional de Nariño;00;000;00485
20854000;890505253:4;Corporación Autónoma Regional de la Frontera Nororiental;00;000;00480
20900000;899999062:6;Corporación Autónoma Regional de Cundinamarca;00;000;00478
21017000;890803005:2;Corporación Autónoma Regional de Caldas;00;000;00476
21176000;890399002:7;Corporación Autónoma Regional del Valle del Cauca;00;000;00501
21263000;890000447:8;Corporación Autónoma Regional del Quindío;00;000;00497
21368000;890201573:0;Corporación Autónoma Regional de Defensa de la Meseta de Bucaramanga;00;000;00479
21527000;899999238:5;Corporación Autónoma Regional para el Desarrollo Sostenible del Chocó;00;000;00502
21673000;890704536:7;Corporación Autónoma Regional del Tolima;00;000;00500
21705000;890907748:3;Corporación para el Desarrollo Sostenible de Urabá;00;000;00521
21805000;890985138:3;Corporación Autónoma Regional de las Cuencas de los ríos Rionegro y Nare;00;000;00483
21900000;899999717:1;Defensa Civil Colombiana, Guillermo León Valencia ;00;000;00559
22000000;899999054:7;Escuela Superior de Administración Pública;00;000;02210
22100000;899999059:3;U.A.E. de la Aeronáutica Civil;00;000;03642
22200000;899999296:2;Ministerio de Ciencia, Tecnología e Innovación (MINCIENCIAS);00;000;00561
23100000;860020227:0;Fondo Rotario de la Policía Nacional;00;000;02328
23200000;800072977:0;Fondo Rotatorio del Departamento Administrativo Nacional de Estadística;00;000;02335
