Ejecucion Presupuestal de Gastos;;;;;;;;;;;;;;;
CUENTA;NOMBRE;FUENTE;INICIAL;ADICCION;REDUCCION;CREDITO;CONTRACREDITO;DEFINITIVO;DISPONIBILIDAD;COMPROMISO;OBLIGACION;COMPROMISO EN EJECUCION;PAGO;CUENTA POR PAGAR;SALDO
2;SECCION: UNIDAD DE SERVICIOS PUBLICOS; - ;441834973;0;0;24392600;24392600;441834973;192813528;132813528;67787848;65025680;67787848;0;249021445
2.1;GASTOS DE PERSONAL ; - ;168098289;0;0;5912840;11811725;162199404;37776558;37776558;32676558;5100000;32676558;0;124422846
2.1.1;SERVICIOS PERSONALES ASOCIADOS A LA NOMINA ; - ;99529488;0;0;5012840;5912840;98629488;20442305;20442305;20442305;0;20442305;0;78187183
2.1.1.1;SUELDOS DE PERSONAL DE NOMINA ;19 - VENTA DE BIENES Y SERVICIOS;68510144;0;0;2377000;0;70887144;15801994;15801994;15801994;0;15801994;0;55085150
2.1.1.10;BONIFICACION DE RECREACION;19 - VENTA DE BIENES Y SERVICIOS;0;0;0;316500;0;316500;0;0;0;0;0;0;316500
2.1.1.2;PRIMA DE NAVIDAD ;19 - VENTA DE BIENES Y SERVICIOS;6402351;0;0;597640;0;6999991;0;0;0;0;0;0;6999991
2.1.1.3;PRIMA DE VACACIONES ;19 - VENTA DE BIENES Y SERVICIOS;5872565;0;0;0;2527840;3344725;0;0;0;0;0;0;3344725
2.1.1.4;INDEMNIZACIÓN POR VACACIONES;19 - VENTA DE BIENES Y SERVICIOS;8582202;0;0;0;3385000;5197202;0;0;0;0;0;0;5197202
2.1.1.5;SUBSIDIO DE ALIMENTACIÓN ;19 - VENTA DE BIENES Y SERVICIOS;3465000;0;0;436500;0;3901500;901280;901280;901280;0;901280;0;3000220
2.1.1.6;INTERESES DE CESANTÍAS ;19 - VENTA DE BIENES Y SERVICIOS;873714;0;0;1030200;0;1903914;898034;898034;898034;0;898034;0;1005880
2.1.1.7;DOTACIÓN DE PERSONAL ;19 - VENTA DE BIENES Y SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0;0
2.1.1.8;PRIMA DE SERVICIOS;19 - VENTA DE BIENES Y SERVICIOS;2982360;0;0;255000;0;3237360;0;0;0;0;0;0;3237360
2.1.1.9;BONIFICACIÓN POR SERVICIOS PRESTADOS;19 - VENTA DE BIENES Y SERVICIOS;2841152;0;0;0;0;2841152;2840997;2840997;2840997;0;2840997;0;155
2.1.2;CONTRIBUCIONES INHERENTES A LA NOMINA ; - ;27568801;0;0;900000;0;28468801;12234253;12234253;12234253;0;12234253;0;16234548
2.1.2.1;AL SECTOR PRIVADO ; - ;27568801;0;0;900000;0;28468801;12234253;12234253;12234253;0;12234253;0;16234548
2.1.2.1.1;APORTES DE PREVISIÓN SOCIAL ; - ;21402888;0;0;900000;0;22302888;10807553;10807553;10807553;0;10807553;0;11495335
2.1.2.1.1.1;APORTES PARA SALUD ;19 - VENTA DE BIENES Y SERVICIOS;5823363;0;0;0;0;5823363;1344019;1344019;1344019;0;1344019;0;4479344
2.1.2.1.1.2;APORTES PARA PENSIÓN ;19 - VENTA DE BIENES Y SERVICIOS;7940263;0;0;0;0;7940263;1896719;1896719;1896719;0;1896719;0;6043544
2.1.2.1.1.3;APORTES ARP ;19 - VENTA DE BIENES Y SERVICIOS;358308;0;0;0;0;358308;83200;83200;83200;0;83200;0;275108
2.1.2.1.1.4;APORTES PARA CESANTÍAS ;19 - VENTA DE BIENES Y SERVICIOS;7280954;0;0;900000;0;8180954;7483615;7483615;7483615;0;7483615;0;697339
2.1.2.1.2;APORTES PARAFISCALES ; - ;6165913;0;0;0;0;6165913;1426700;1426700;1426700;0;1426700;0;4739213
2.1.2.1.2.1;SENA ;19 - VENTA DE BIENES Y SERVICIOS;342551;0;0;0;0;342551;79900;79900;79900;0;79900;0;262651
2.1.2.1.2.2;ICBF ;19 - VENTA DE BIENES Y SERVICIOS;2055304;0;0;0;0;2055304;475000;475000;475000;0;475000;0;1580304
2.1.2.1.2.3;ESAP ;19 - VENTA DE BIENES Y SERVICIOS;342551;0;0;0;0;342551;79900;79900;79900;0;79900;0;262651
2.1.2.1.2.4;CAJAS DE COMPENSACIÓN FAMILIAR ;19 - VENTA DE BIENES Y SERVICIOS;2740406;0;0;0;0;2740406;633000;633000;633000;0;633000;0;2107406
2.1.2.1.2.5;INSTITUTOS TÉCNICOS ;19 - VENTA DE BIENES Y SERVICIOS;685101;0;0;0;0;685101;158900;158900;158900;0;158900;0;526201
2.1.3;SERVICIOS PERSONALES INDIRECTOS   ; - ;41000000;0;0;0;5898885;35101115;5100000;5100000;0;5100000;0;0;30001115
2.1.3.1;HONORARIOS ;19 - VENTA DE BIENES Y SERVICIOS;32000000;0;0;0;4000000;28000000;0;0;0;0;0;0;28000000
2.1.3.2;PERSONAL SUPERNUMERARIO ;19 - VENTA DE BIENES Y SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0;0
2.1.3.3;SERVICIOS TÉCNICOS ;19 - VENTA DE BIENES Y SERVICIOS;9000000;0;0;0;1898885;7101115;5100000;5100000;0;5100000;0;0;2001115
2,2;GASTOS GENERALES ; - ;55688059;0;0;0;4261008;51427051;20000000;0;0;0;0;0;31427051
2.2.1;ADQUISICIÓN DE BIENES ; - ;32949067;0;0;0;4261008;28688059;0;0;0;0;0;0;28688059
2.2.1.1;COMPRA DE EQUIPOS ;19 - VENTA DE BIENES Y SERVICIOS;10688058;0;0;0;0;10688058;0;0;0;0;0;0;10688058
2.2.1.2;MATERIALES Y SUMINISTROS ;19 - VENTA DE BIENES Y SERVICIOS;22261008;0;0;0;4261008;18000000;0;0;0;0;0;0;18000000
2.2.1.3;OTROS BIENES;19 - VENTA DE BIENES Y SERVICIOS;1;0;0;0;0;1;0;0;0;0;0;0;1
2.2.2;ADQUISICIÓN DE SERVICIOS; - ;22738992;0;0;0;0;22738992;20000000;0;0;0;0;0;2738992
2.2.2.1;MANTENIMIENTO Y REPARACIONES;19 - VENTA DE BIENES Y SERVICIOS;20000000;0;0;0;0;20000000;20000000;0;0;0;0;0;0
2.2.2.2;GASTOS DE BIENESTAR SOCIAL Y SALUD OCUPACIONAL;19 - VENTA DE BIENES Y SERVICIOS;2738992;0;0;0;0;2738992;0;0;0;0;0;0;2738992
2,3;COSTOS Y GASTOS ASOCIADOS A LA OPERACIÓN. PRODUCCIÓN Y COMERCIALIZACIÓN ; - ;218048625;0;0;18479760;8319867;228208518;135036970;95036970;35111290;59925680;35111290;0;93171548
2.3.1;GASTOS DE PERSONAL ; - ;28996667;0;0;0;1345667;27651000;14400000;14400000;2400000;12000000;2400000;0;13251000
2.3.1.1;SERVICIOS PERSONALES INDIRECTOS ;19 - VENTA DE BIENES Y SERVICIOS;28996667;0;0;0;1345667;27651000;14400000;14400000;2400000;12000000;2400000;0;13251000
2.3.2;GASTOS GENERALES; - ;189051958;0;0;18479760;6974200;200557518;120636970;80636970;32711290;47925680;32711290;0;79920548
2.3.2.1;ADQUISICION DE SERVICIOS; - ;189051958;0;0;18479760;6974200;200557518;120636970;80636970;32711290;47925680;32711290;0;79920548
2.3.2.1.1;CONTRATOS DE OPERACIÓN. PRODUCCIÓN Y COMERCIALIZACIÓN ;19 - VENTA DE BIENES Y SERVICIOS;54848625;0;0;0;0;54848625;45200000;45200000;4200000;41000000;4200000;0;9648625
2.3.2.1.2;DOTACIÓN;19 - VENTA DE BIENES Y SERVICIOS;6000000;0;0;0;0;6000000;0;0;0;0;0;0;6000000
2.3.2.1.3;COMBUSTIBLE;19 - VENTA DE BIENES Y SERVICIOS;35000000;0;0;0;0;35000000;35000000;0;0;0;0;0;0
2.3.2.1.4;IMPRESOS Y PUBLICACIONES;19 - VENTA DE BIENES Y SERVICIOS;5000000;0;0;0;0;5000000;5000000;0;0;0;0;0;0
2.3.2.1.5;PEAJES;19 - VENTA DE BIENES Y SERVICIOS;10000000;0;0;0;1974200;8025800;6025800;6025800;6025800;0;6025800;0;2000000
2.3.2.1.6;TASAS Y CONTRIBUCIONES;19 - VENTA DE BIENES Y SERVICIOS;30000000;0;0;18479760;0;48479760;27702720;27702720;20777040;6925680;20777040;0;20777040
2.3.2.1.7;DISPOSICIÓN FINAL DE RESIDUOS SOLIDOS;19 - VENTA DE BIENES Y SERVICIOS;30000000;0;0;0;5000000;25000000;0;0;0;0;0;0;25000000
2.3.2.1.8;OTROS GASTOS ADQUISICIÓN DE SERVICIOS ;19 - VENTA DE BIENES Y SERVICIOS;18203333;0;0;0;0;18203333;1708450;1708450;1708450;0;1708450;0;16494883
5.5.2.1.1;DISPOSICION FINAL DE RESIDUOS SOLIDOS;100 - INGRESOS CORRIENTES DE LIBRE DESTINACION EXCEPTO EL 42% DE LIBRE DESTINACI?N DE PROPOSITO GENERAL DE MPIOS DE CATEGORIA 4  5 Y 6;0;9619151;0;0;0;9619151;9472660;9472660;9472660;0;9472660;0;146491
