CODIGO;CUENTA;SALDO ANTERIOR;DEBITO;CREDITO;SALDO FINAL
1;ACTIVOS;1454469778,370;46859002,920;91170753,240;1410158028,050
11;EFECTIVO Y EQUIVALENTES AL EFECTIVO;44672064,345;46478427,920;46804502,240;44345990,025
1110;DEPÓSITOS EN INSTITUCIONES FINANCIERAS;44672064,345;46478427,920;46804502,240;44345990,025
111005;Cuenta corriente;23658962,200;25179447,600;32014414,420;16823995,380
111005018;AGRARIO 45050006423 CORRIENTE FONDO ACUEDUCTO Y ALCANTARILLADO;8732830,698;6910696,600;14485000,400;1158526,898
111005053;BANCOLOMBIA RECUR. PROPIOS SERVICIOS PUBLICOS;14926131,502;18268751,000;17529414,020;15665468,482
111013;Depósitos para fondos de solidaridad y redistribución del ingreso;21013102,145;21298980,320;14790087,820;27521994,645
111013001;DEPÓSITOS PARA FONDOS DE SOLIDARIDAD Y REDISTRIBUCIÓN DEL INGRESO 445053001213;21013102,145;21298980,320;14790087,820;27521994,645
13;CUENTAS POR COBRAR;1222924353,025;380575,000;40780370,000;1182524558,025
1311;CONTRIBUCIONES, TASAS E INGRESOS NO TRIBUTARIOS;0,000;380575,000;380575,000;0,000
131113;Estampillas;0,000;380575,000;380575,000;0,000
131113003;OTRAS ESTAMPILLAS (PROTURISMO);0,000;380575,000;380575,000;0,000
1318;PRESTACIÓN DE SERVICIOS PÚBLICOS;1143528774,155;0,000;40399795,000;1103128979,155
131802;Servicio de acueducto;172224689,360;0,000;6323275,500;165901413,860
131802001;SERVICIO DE ACUEDUCTO;172224689,360;0,000;6323275,500;165901413,860
131803;Servicio de alcantarillado;66692149,545;0,000;2463961,000;64228188,545
131803001;SERVICIO DE ALCANTARILLADO;66692149,545;0,000;2463961,000;64228188,545
131804;Servicio de aseo;281310903,250;0,000;10337431,000;270973472,250
131804001;SERVICIO DE ASEO;281310903,250;0,000;10337431,000;270973472,250
131808;Subsidio servicio de acueducto;178175916,000;0,000;7125452,500;171050463,500
131808001;SUBSIDIO SERVICIO DE ACUEDUCTO;178175916,000;0,000;7125452,500;171050463,500
131809;Subsidio servicio de alcantarillado;82206056,000;0,000;2907935,000;79298121,000
131809001;SUBSIDIO SERVICIO DE ALCANTARILLADO;82206056,000;0,000;2907935,000;79298121,000
131810;Subsidio servicio de aseo;362919060,000;0,000;11241740,000;351677320,000
131810001;SUBSIDIO SERVICIO DE ASEO;362919060,000;0,000;11241740,000;351677320,000
1384;OTRAS CUENTAS POR COBRAR;79395578,870;0,000;0,000;79395578,870
138401;Aportes de capital por cobrar;79387578,870;0,000;0,000;79387578,870
138401001;APORTES DE CAPITAL POR COBRAR;79387578,870;0,000;0,000;79387578,870
138405;Comisiones;8000,000;0,000;0,000;8000,000
138405001;COMISIONES;8000,000;0,000;0,000;8000,000
16;PROPIEDADES, PLANTA Y EQUIPO;186873361,000;0,000;3585881,000;183287480,000
1645;PLANTAS, DUCTOS Y TÚNELES;7678400,000;0,000;0,000;7678400,000
164502;Plantas de tratamiento;7678400,000;0,000;0,000;7678400,000
164502001;PLANTAS DE TRATAMIENTO;7678400,000;0,000;0,000;7678400,000
1670;EQUIPOS DE COMUNICACIÓN Y COMPUTACIÓN;16900000,000;0,000;0,000;16900000,000
167002;Equipo de computación;16900000,000;0,000;0,000;16900000,000
167002001;EQUIPO DE COMPUTACIÓN;16900000,000;0,000;0,000;16900000,000
1675;EQUIPOS DE TRANSPORTE, TRACCIÓN Y ELEVACIÓN;392666720,000;0,000;0,000;392666720,000
167502;Terrestre;392666720,000;0,000;0,000;392666720,000
167502001;TERRESTRE;392666720,000;0,000;0,000;392666720,000
1685;DEPRECIACIÓN ACUMULADA DE PROPIEDADES, PLANTA Y EQUIPO (CR);-230371759,000;0,000;3585881,000;-233957640,000
168502;Plantas, ductos y túneles;-6110717,000;0,000;31993,000;-6142710,000
168502001;PLANTAS DUCTOS Y TÚNELES;-6110717,000;0,000;31993,000;-6142710,000
168507;Equipos de comunicación y computación;-8168330,000;0,000;281666,000;-8449996,000
