CODIGO;CUENTA;SALDO ANTERIOR;DEBITO;CREDITO;SALDO FINAL
1;ACTIVOS;1362528777,613;344414728,380;278714056,247;1428229449,746
11;EFECTIVO Y EQUIVALENTES AL EFECTIVO;30955817,708;109800165,880;110425610,867;30330372,721
1110;DEPÓSITOS EN INSTITUCIONES FINANCIERAS;30955817,708;109800165,880;110425610,867;30330372,721
111005;Cuenta corriente;23060157,563;78625498,880;85593336,867;16092319,576
111005018;AGRARIO 45050006423 CORRIENTE FONDO ACUEDUCTO Y ALCANTARILLADO;11156023,574;25841629,000;28936894,000;8060758,574
111005053;BANCOLOMBIA RECUR. PROPIOS SERVICIOS PUBLICOS;11904133,989;52783869,880;56656442,867;8031561,002
111013;Depósitos para fondos de solidaridad y redistribución del ingreso;7895660,145;31174667,000;24832274,000;14238053,145
111013001;DEPÓSITOS PARA FONDOS DE SOLIDARIDAD Y REDISTRIBUCIÓN DEL INGRESO 445053001213;7895660,145;31174667,000;24832274,000;14238053,145
13;CUENTAS POR COBRAR;1126770193,905;234254561,500;157530802,380;1203493953,025
1311;CONTRIBUCIONES, TASAS E INGRESOS NO TRIBUTARIOS;0,000;5445891,000;5445891,000;0,000
131113;Estampillas;0,000;661891,000;661891,000;0,000
131113003;OTRAS ESTAMPILLAS (PROTURISMO);0,000;661891,000;661891,000;0,000
131190;Otras contribuciones, tasas e ingresos no tributarios;0,000;4784000,000;4784000,000;0,000
131190001;OTRAS CUENTAS POR COBRAR POR INGRESOS NO TRIBUTARIOS;0,000;4784000,000;4784000,000;0,000
1318;PRESTACIÓN DE SERVICIOS PÚBLICOS;1047382615,035;228800670,500;152084911,380;1124098374,155
131802;Servicio de acueducto;161815582,240;40553850,000;36272338,380;166097093,860
131802001;SERVICIO DE ACUEDUCTO;161815582,240;40553850,000;36272338,380;166097093,860
131803;Servicio de alcantarillado;62661847,545;16273700,000;14673506,000;64262041,545
131803001;SERVICIO DE ALCANTARILLADO;62661847,545;16273700,000;14673506,000;64262041,545
131804;Servicio de aseo;265141816,250;64907900,000;58810489,000;271239227,250
131804001;SERVICIO DE ASEO;265141816,250;64907900,000;58810489,000;271239227,250
131808;Subsidio servicio de acueducto;156224338,000;35856845,500;14175748,000;177905435,500
131808001;SUBSIDIO SERVICIO DE ACUEDUCTO;156224338,000;35856845,500;14175748,000;177905435,500
