CODIGO;CUENTA;SALDO ANTERIOR;DEBITO;CREDITO;SALDO FINAL
1;ACTIVOS;28179070283,018;691788629,570;952612012,300;27918246900,288
11;EFECTIVO Y EQUIVALENTES AL EFECTIVO;4064863053,525;578901917,770;443225581,480;4200539389,815
1110;DEPÓSITOS EN INSTITUCIONES FINANCIERAS;4064863053,525;578901917,770;443225581,480;4200539389,815
111005;Cuenta corriente;1769773384,345;192226954,790;210956050,360;1751044288,775
111005002;BANCO DE BOGOTA 0358024214 CORRIENTE SOBRETASA A LA GASOLINA;29496161,400;28318733,120;23599827,120;34215067,400
111005004;AGRARIO 45050000525 CORRIENTE SGP EDUCACION CALIDAD;280730,400;0,000;0,000;280730,400
111005005;AGRARIO 45050000798 CORRIENTE ETESA;23564440,640;340792,000;0,000;23905232,640
111005006;AGRARIO 45050005755 CORRIENTE SGP PROPOSITO GENERAL;1994718,650;0,000;0,000;1994718,650
111005008;AGRARIO 45050000236 CORRIENTE FONDOS COMUNES;353450844,895;64436263,000;93857795,000;324029312,895
111005009;AGRARIO 45050000248 CORRIENTE SGP ALIMENTACION ESCOLAR;9253,000;0,000;0,000;9253,000
111005010;AGRARIO 45050000263 CORRIENTE FONDO CULTURA;33552238,350;19691542,000;18477185,000;34766595,350
111005011;AGRARIO 45050000297 CORRIENTE SGP LIBRE DESTINACION;13738,000;0,000;0,000;13738,000
111005012;AGRARIO 45050000305 CORRIENTE ESTAMPILLAS;65,000;0,000;0,000;65,000
111005013;AGRARIO 45050000347 CORRIENTE ALUMBRADO PUBLICO;7562,000;0,000;0,000;7562,000
111005014;AGRARIO 45050000412 CORRIENTE TERCEROS;10939870,460;14709382,000;12774922,320;12874330,140
111005017;AGRARIO 45050000925 CORRIENTE;3610853,000;0,000;0,000;3610853,000
111005019;AGRARIO 45050000941 CORRIENTE;513961,000;0,000;0,000;513961,000
111005020;AGRARIO 45050000442 CORRIENTE FONDO DE SEGURIDAD;171278566,350;0,000;0,000;171278566,350
111005021;AGRARIO 45050000214 CORRIENTE SGP DEPORTES;8611,000;0,000;0,000;8611,000
111005022;AGRARIO 45050000222 CORRIENTE SGP CULTURA;291362,000;0,000;0,000;291362,000
111005023;BANCOLOMBIA 89062036918 CORRIENTE REGALIAS;570886,270;48,360;0,000;570934,630
111005024;AGRARIO 45050008353 CORRIENTE;1666973,000;0,000;0,000;1666973,000
111005025;BOGOTA NUEVA 852087139 ANTERIOR 101358034 CORRIENTE FONDO SEGURIDAD;583318,000;0,000;0,000;583318,000
111005026;BANCO DE BOGOTA NUEVA 852087089 ANTERIOR 101357887 CORRIENTE;651653,000;0,000;0,000;651653,000
111005027;BANCO DE BOGOTA NUEVA 852086867 ANTERIOR 101357416 CORRIENTE;21345,000;0,000;0,000;21345,000
111005028;BANCO DE BOGOTA NUEVA 852086602 ANTERIOR 101356749 CORRIENTE;32695,000;0,000;0,000;32695,000
111005029;BANCO DE BOGOTA NUEVA 852087147 ANTERIOR 101358042 CORRIENTE;2615523,000;0,000;0,000;2615523,000
111005030;BANCO DE BOGOTA NUEVA 852086487 ANTERIOR 101356384 CORRIENTE;1066,000;0,000;0,000;1066,000
111005031;BANCO DE BOGOTA NUEVA  852086610 ANTERIOR 101356756 CORRIENTE;2787240,000;0,000;0,000;2787240,000
111005034;BANCO DE BOGOTA 358040863 SGR CORRIENTE;147770778,980;125519,000;5845640,000;142050657,980
111005036;BANCO DE BOGOTA 358040830 ASIGNACIONES DIRECTAS SGR;735042,130;155,000;0,000;735197,130
111005038;MPIO CUBARRAL CONVENIO 457/2013 FESTIVAL EL CUBARRO (TURISMO);86000,000;0,000;0,000;86000,000
111005041;BANCO BBVA FONDO REGALIAS RESERVA PENSIONAL 489025304 CORRIENTE;76419553,470;12932,000;0,000;76432485,470
111005043;MPIO CUBARRAL. CONV. 863/2014 TRANSPORTE ESCOLAR;5265,440;0,310;0,000;5265,750
111005044;BBVA 489028001 CONVENIO ECOPETROL 2014 ( MEJORAMIENTO PUENTE COLGANTE ANGOSTURAS);-0,400;0,000;0,000;-0,400
111005047;BBVA 489029785 RESERVA PENSIONAL GENERA- DASAHORRO FONPET;-0,480;0,000;0,000;-0,480
111005048;MUNICIPIO CUBARRAL RECURSOS EMPRESTITOS;7699,920;0,000;0,000;7699,920
111005049;BANCO OCCIDENTE. CTA.CTE 700077423 ESTUDIO DISE? Y CONST. DEL CENTRO INTEG. CIUDADANA CIC;0,000;0,000;0,000;0,000
111005052;CTACTE 89066472425 RECURSOS PROPIOS RECAUDO IMPUESTOS;244758348,780;64181954,000;56400680,920;252539621,860
111005054;CTA CTE 358050722 MPIO CUBARRAL DESAHORRO RECURSOS FONPET EDUCACION;41374539,090;8773,000;0,000;41383312,090
111005055;CONVENIO COLABORACION ECOPETROL N° 3009996 DE 2017;-0,000;0,000;0,000;-0,000
111005056;BOGOTA CORRIENTE SOBRETASA A LA GASOLINA 636106460;4659,000;0,000;0,000;4659,000
111005057; BANCO BOGTA 358086817  ANUAR ESUERZOS PARA MEJ VIAS RURALES MUNICIPIO CUBARRAL;620667823,000;400861,000;0,000;621068684,000
111006;Cuenta de ahorro;2294837331,190;386674962,980;232269531,120;2449242763,050
111006001;BANCO DE BOGOTA 0358042794 AHORROS CONSTRUCCION VIVIENDA DE INTERES SOCIAL PRIORITARIA;65970,000;6,000;0,000;65976,000
111006002;BANCO DE BOGOTA 0358042844 AHORROS TRANSPORTE ESCOLAR;3567582,000;297,000;0,000;3567879,000
111006004;BANCO DE BOGOTA 0358042851 AHORROS MUNICIPIO DE CUBARRAL MEJORAMIENTO VIA MONTECRISTO;248950,180;21,000;0,000;248971,180
111006007;AGRARIO 45050025873 AHORROS CONVENIO ICA;195908,000;0,000;0,000;195908,000
111006008;AGRARIO 45050013989 AHORROS;100300,000;0,000;0,000;100300,000
111006009;AGRARIO 45050014128 AHORROS FONDOS COMUNES;11360084,000;0,000;0,000;11360084,000
111006012;AGRARIO 45052001813 AHORROS ETESA;4879109,000;0,000;0,000;4879109,000
111006014;AGRARIO 45053000160 AHORROS CUENTA MAESTRA REGIMEN SUBSIDIADO;2922882,100;816,000;0,000;2923698,100
111006015;AGRARIO 45053000365 AHORROS FONDOS COMUNES;415121,000;31,000;0,000;415152,000
111006016;AGRARIO 45053000594 AHORROS OFERTA;1447744,000;178,000;0,000;1447922,000
111006017;AGRARIO 45053000608 AHORROS SALUD PUBLICA;38074237,990;22745988,000;7000000,000;53820225,990
111006018;AGRARIO 45053000927 AHORROS;32666201,000;592130,000;44205,000;33214126,000
111006019;AGRARIO 45053000853 AHORROS SGP LIBRE DESTINACION;154834,000;6,000;0,000;154840,000
111006020;AGRARIO 45053000861 AHORROS SGP DEPORTES;175995,000;6,000;0,000;176001,000
111006021;AGRARIO 45053000871 AHORROS SGP CULTURA;1453049,000;178,000;0,000;1453227,000
111006023;BANCO DE BOGOTA 0358047017 AHORROS MARGEN DE COMERCIALIZACION;32388393,000;2789,000;0,000;32391182,000
111006026;AGRARIO 445050021264 AHORROS SGP AGUA POTABLE;56744706,310;0,000;0,000;56744706,310
111006027;AGRARIO 445050021272 AHORROS SGP EDUCACION;18555233,000;0,000;0,000;18555233,000
111006028;AGRARIO 445050021280 AHORROS FONDO ADULTO MAYOR;242201450,000;4857428,000;1300000,000;245758878,000
111006029;AGRARIO 445050021299 AHORROS FONDO DE TURISMO;9125365,350;15222641,000;18176771,000;6171235,350
111006032;BANCO DE BOGOTA 358-04842-9 AHORROS MUNICIPIO DE CUBARRAL IVA TELEFONIA CELULAR;4926242,890;424,000;0,000;4926666,890
111006033;AGRARIO 445050021744 AHORROS CONVENIO 459 SERVICIO TRANSPORTE ESCOLAR;2771944,000;0,000;0,000;2771944,000
111006034;AGRARIO 445050022211 AHORROS IMPUESTOS CIGARRILLOS NACIONALES;27845336,600;0,000;0,000;27845336,600
111006036;BANCO AGRARIO 445053001221 FONDO CESANTIAS MUNICIPIO CUBARRAL;15132443,000;1918,000;0,000;15134361,000
111006037;BANCO POPULAR CTA AHORRO 220-411-12345-8;12918,100;0,000;0,000;12918,100
111006039;TRANSPORTE ESCOLAR 2016;0,000;0,000;0,000;0,000
111006040;BANCO AGRARIO 445053001450 MAESTRA ALIMENTACION ESCOLAR;17286641,000;3754317,000;1905280,000;19135678,000
111006041;BANCOLOMBIA MAESTRA SISTEMA GRAL DE PARTICIPACIONES PROPOSITO GENERAL;1024036269,580;289175623,790;142482987,120;1170728906,250
111006042;BANCOLOMBIA CONV EDECUACION PTO DE INFORMACION TURISTICA PIT;136508,480;11,470;0,000;136519,950
111006043;MUNICIPIO CUBARRAL CONV 714 INSTITUTO DE CULTURA;12057,630;0,930;0,000;12058,560
111006044;CONVENIO TRANSPORTE ESCOLAR 5362016 BANCOLOMBIA;-0,000;0,000;0,000;-0,000
111006045;MPIO CUBARRAL PROPOSITO GRAL DESAHO FONPET;8659757,190;2887,000;0,000;8662644,190
111006046;MPIO DE CUBARRAL RES PEN GRAL REGALIAS;384713,830;33,000;0,000;384746,830
111006047;CTA AHORRO 89076130249 MPIO CUBARRAL FONDOMAQUINARIA;16124742,030;296773,800;0,000;16421515,830
111006048;MPIO CUBARRAL FONDO GESTION RIESGOS DESASTRES;40090008,110;7626,560;15000000,000;25097634,670
111006049;MUNICIPIO CUBARRAL CUENTA MAESTRA AIPI;159046,670;13,330;0,000;159060,000
111006050;MANTENIMIENTO VIAS TERCIARIAS MUNICIPIO DE CUBARRAL CONV 532017 AIM;0,000;0,000;0,000;0,000
111006051;BANCOLOMBIA ALUMBRADO PUBLICO;225837986,430;7045783,940;1500000,000;231383770,370
111006052;BANCOLOMBIA ADQUISICION DE PREDIOS;11646501,630;2968,670;0,000;11649470,300
111006054;BANCO AGRARIO SGP AGUA POTABLE CTA MAESTRA;286213699,710;39866904,000;42453895,000;283626708,710
111006055;BANCO DE BOGOTA  358075018 DESAHORRO FONPET PROP GRAL;12169884,320;1014,000;0,000;12170898,320
111006056;BANCO DE BOGOTA  358075000 DESAHORRO FONPET RESERVA PENSIONAL GRAL REGALIAS;11799,970;1,000;0,000;11800,970
111006057;BANCO AGRARIO  445053001604 EDUCACION CALIDAD MAESTRA;31961977,580;2600933,000;2406393,000;32156517,580
111006058;BAANCO AGRARIO  445053001779 MPIO CUBARRAL MULTAS COD POLICIA;10654502,580;469533,000;0,000;11124035,580
111006060;BANCOBOGOTA 358078400 IMPUESTOS TRANSPORTE DE HIDROCARBUROS;8222751,000;685,000;0,000;8223436,000
111006061;SOBRETASA BOMBERIL;43601306,020;11110,580;0,000;43612416,600
111006062;BANCO AGRARIO 445053001991  FONDO SEGURIDAD SOCIAL GESTOR  CULTURAL 10;49972255,000;13867,000;0,000;49986122,000
111006063;BANCOLOMBIA  89000000342 PORCENTAJE SOBRETASA AMBIENTAL;222922,910;18,910;0,000;222941,820
111090;Otros depósitos en instituciones financieras;252337,990;0,000;0,000;252337,990
111090001;AGRARIO 502239195002 DEPOSITO JUDICIAL;252337,990;0,000;0,000;252337,990
13;CUENTAS POR COBRAR;6674578246,374;112886711,800;478614781,000;6308850177,174
1305;IMPUESTOS, RETENCIÓN EN LA FUENTE Y ANTICIPOS DE IMPUESTOS;1068579446,134;76793076,800;86033367,000;1059339155,934
130507;Impuesto predial unificado;1023006085,434;53299403,800;62507376,000;1013798113,234
130507001;IMPUESTO PREDIAL UNIFICADO;912344759,376;53216271,800;21593116,000;943967915,176
130507002;IMPUESTO PREDIAL UNIFICADO VIG ANTERIOR;110661326,058;83132,000;40914260,000;69830198,058
130508;Impuesto de industria y comercio;983759,000;3016198,000;3016198,000;983759,000
130508001;IMPUESTO DE INDUSTRIA Y COMERCIO;983759,000;3016198,000;3016198,000;983759,000
130519;Impuesto de delineación urbana, estudios y aprobación de planos;0,000;625878,000;625878,000;0,000
130519001;IMPUESTO DE DELINEACIÓN URBANA ESTUDIOS Y APROBACIÓN DE PLANOS;0,000;625878,000;625878,000;0,000
130521;Impuesto de avisos, tableros y vallas;0,000;13000,000;13000,000;0,000
130521001;IMPUESTO DE AVISOS TABLEROS Y VALLAS;0,000;13000,000;13000,000;0,000
130533;Impuesto sobre vehículos automotores;200,000;592130,000;592130,000;200,000
130533001;IMPUESTO SOBRE VEHÍCULOS AUTOMOTORES;200,000;592130,000;592130,000;200,000
130535;Sobretasa a la gasolina;0,000;10594000,000;10594000,000;0,000
130535001;SOBRETASA A LA GASOLINA;0,000;10594000,000;10594000,000;0,000
130545;Impuesto sobre el servicio de alumbrado público;0,000;6939946,000;6939946,000;0,000
130545001;IMPUESTO SOBRE EL SERVICIO DE ALUMBRADO PÚBLICO;0,000;6939946,000;6939946,000;0,000
130562;Sobretasa bomberil;44589401,700;1712521,000;1744839,000;44557083,700
130562001;SOBRETASA BOMBERIL;28538151,000;1710598,000;761789,000;29486960,000
130562002;SOBRETASA BOMBERIL VIG ANTERIOR;16051250,700;1923,000;983050,000;15070123,700
1311;CONTRIBUCIONES, TASAS E INGRESOS NO TRIBUTARIOS;10594752,560;8691226,000;8411506,000;10874472,560
131113;Estampillas;53861,000;7111907,000;6832187,000;333581,000
131113001;ESTAMPILLA PRO-ANCIANATO;96000,000;5091130,000;4875130,000;312000,000
131113002;ESTAMPILLA PRO-CULTURA;24000,000;1272783,000;1218783,000;78000,000
131113003;OTRAS ESTAMPILLAS (PROTURISMO);-66139,000;747994,000;738274,000;-56419,000
131118;Licencias;105772,000;566181,000;566181,000;105772,000
131118001;LICENCIAS;105772,000;566181,000;566181,000;105772,000
131190;Otras contribuciones, tasas e ingresos no tributarios;10435119,560;1013138,000;1013138,000;10435119,560
131190001;OTRAS CUENTAS POR COBRAR POR INGRESOS NO TRIBUTARIOS;10435119,560;1013138,000;1013138,000;10435119,560
1318;PRESTACIÓN DE SERVICIOS PÚBLICOS;-1,000;0,000;0,000;-1,000
131802;Servicio de acueducto;-1,000;0,000;0,000;-1,000
131802001;SERVICIO DE ACUEDUCTO;-1,000;0,000;0,000;-1,000
1337;TRANSFERENCIAS POR COBRAR;5543784761,440;24123094,000;363221400,000;5204686455,440
133702;Sistema General de Regalías;4989453734,000;0,000;0,000;4989453734,000
133702001;SISTEMA GENERAL DE REGALÍAS;4989453734,000;0,000;0,000;4989453734,000
133703;Sistema General de Participaciones - Participación para salud;274200355,240;23071684,000;23071684,000;274200355,240
133703001;SISTEMA GENERAL DE PARTICIPACIONES PARTICIPACIÓN PARA SALUD;-745519464,170;22730892,000;22730892,000;-745519464,170
133703002;SISTEMA GENERAL DE PARTICIPACIONES PARTICIPACIÓN PARA SALUD SSF;1019719819,410;340792,000;340792,000;1019719819,410
133704;Sistema General de Participaciones - Participación para educación;10098556,000;0,000;2591376,000;7507180,000
133704001;SISTEMA GENERAL DE PARTICIPACIONES PARTICIPACIÓN PARA EDUCACIÓN;10098556,000;0,000;2591376,000;7507180,000
133705;Sistema General de Participaciones - Participación para propósito general;162398623,200;0,000;288028419,000;-125629795,800
133705001;SISTEMA GENERAL DE PARTICIPACIONES PARTICIPACIÓN PARA PROPÓSITO GENERAL DEPORTES;-204291338,000;0,000;7940667,000;-212232005,000
