CODIGO;CUENTA;SALDO ANTERIOR;DEBITO;CREDITO;SALDO FINAL
1;Activos;13778069,00;48221392,00;47378070,00;14621391,00
11;Efectivo;2509315,00;24098196,00;23279874,00;3327637,00
1110;Depósitos en instituciones financieras;2509315,00;24098196,00;23279874,00;3327637,00
111005;Cuenta corriente;2509315,00;24098196,00;23279874,00;3327637,00
11100501;AGRARIO Corriente 45050008460;2509315,00;24098196,00;23279874,00;3327637,00
14;Deudores;0,00;24123196,00;24098196,00;25000,00
1470;Otros deudores;0,00;24123196,00;24098196,00;25000,00
147010;APORTES DE CAPITAL POR COBRAR;0,00;24098196,00;24098196,00;0,00
14701001;APORTES DE CAPITAL POR COBRAR ALCALDIA;0,00;24098196,00;24098196,00;0,00
147090;Otros deudores;0,00;25000,00;0,00;25000,00
14709001;Otros deudores;0,00;25000,00;0,00;25000,00
16;Propiedades  planta y equipo;11268754,00;0,00;0,00;11268754,00
1665;Muebles  enseres y equipo de oficina;3812754,00;0,00;0,00;3812754,00
166501;Muebles y enseres;1215000,00;0,00;0,00;1215000,00
16650101;Muebles y enseres;1215000,00;0,00;0,00;1215000,00
166590;Otros muebles  enseres y equipo de oficina;2597754,00;0,00;0,00;2597754,00
16659001;Otros muebles  enseres y equipo de oficina;2597754,00;0,00;0,00;2597754,00
1670;Equipos de comunicación y computación;7456000,00;0,00;0,00;7456000,00
167002;Equipo de computación;7456000,00;0,00;0,00;7456000,00
16700201;Equipo de computación;7456000,00;0,00;0,00;7456000,00
2;Pasivo;-870780,00;24522477,00;25291133,00;-1639436,00
24;Cuentas por pagar;-819580,00;21149660,00;21350856,00;-1020776,00
2425;Acreedores;-282100,00;20567460,00;21137170,00;-851810,00
242504;Servicios públicos;0,00;290000,00;329690,00;-39690,00
24250401;Servicios públicos;0,00;290000,00;329690,00;-39690,00
242508;Viáticos y gastos de viaje;0,00;60000,00;240000,00;-180000,00
24250801;Viáticos y gastos de viaje;0,00;60000,00;240000,00;-180000,00
242510;Seguros;0,00;452400,00;452400,00;0,00
24251003;DE MANEJO;0,00;452400,00;452400,00;0,00
242518;Aportes a fondos  pensionales;0,00;178040,00;415200,00;-237160,00
24251801;Aportes a fondos  pensionales;0,00;178040,00;415200,00;-237160,00
242519;Aportes a seguridad social en salud;-282100,00;408140,00;415200,00;-289160,00
24251901;Aportes a seguridad social en salud;-282100,00;408140,00;415200,00;-289160,00
242520;Aportes al icbf  sena y cajas de compensación;0,00;111400,00;194700,00;-83300,00
24252001;Aportes al icbf  sena y cajas de compensación;0,00;111400,00;194700,00;-83300,00
242532;Aporte riesgos profesionales;0,00;7800,00;13500,00;-5700,00
24253201;Aporte riesgos profesionales;0,00;7800,00;13500,00;-5700,00
242541;Aportes a escuelas industriales  institutos técnicos y esap;0,00;22200,00;39000,00;-16800,00
24254101;Aportes a escuelas industriales  institutos técnicos y esap;0,00;22200,00;39000,00;-16800,00
242552;Honorarios;0,00;19037480,00;19037480,00;0,00
24255201;Honorarios;0,00;19037480,00;19037480,00;0,00
2436;Retención en la fuente e impuesto de timbre;-250000,00;406000,00;213686,00;-57686,00
243603;Honorarios;-250000,00;406000,00;213686,00;-57686,00
24360301;Rete honorarios 10%;-250000,00;406000,00;213686,00;-57686,00
2440;Impuestos  contribuciones y tasas por pagar;-287480,00;176200,00;0,00;-111280,00
244085;Otros impuestos municipales;-287480,00;176200,00;0,00;-111280,00
24408501;Otros impuestos municipales;-287480,00;176200,00;0,00;-111280,00
25;Obligaciones laborales y de seguridad social integral;0,00;2662325,00;2593965,00;68360,00
2505;Salarios y prestaciones sociales;0,00;2662325,00;2593965,00;68360,00
250501;Nómina por pagar;0,00;2662325,00;2593965,00;68360,00
25050101;Nomina por pagar 888;0,00;2662325,00;2593965,00;68360,00
27;Pasivos estimados;0,00;0,00;218238,00;-218238,00
2715;Provisión para prestaciones sociales;0,00;0,00;218238,00;-218238,00
271501;Cesantías;0,00;0,00;216078,00;-216078,00
27150101;Cesantías;0,00;0,00;216078,00;-216078,00
271502;Intereses sobre cesantías;0,00;0,00;2160,00;-2160,00
27150201;Intereses sobre cesantías;0,00;0,00;2160,00;-2160,00
29;Otros pasivos;-51200,00;710492,00;1128074,00;-468782,00
2905;Recaudo a favor de terceros;-51200,00;710492,00;1128074,00;-468782,00
290590;Otros recaudos a favor de terceros;-51200,00;710492,00;1128074,00;-468782,00
29059001;Retencion Turismo;-51200,00;305758,00;431949,60;-177391,60
29059004;Prodesarrollo 2%;0,00;279734,00;380749,60;-101015,60
29059013;RETENCION CULTURA 1%;0,00;25000,00;215374,80;-190374,80
