CODIGO;CUENTA;SALDO ANTERIOR;DEBITO;CREDITO;SALDO FINAL
1;Activos;6116137,00;44212500,00;37077001,17;13251635,83
11;Efectivo;41941,00;22106250,00;14970751,17;7177439,83
1110;Depósitos en instituciones financieras;41941,00;22106250,00;14970751,17;7177439,83
111005;Cuenta corriente;41941,00;22106250,00;14970751,17;7177439,83
14;Deudores;0,00;22106250,00;22106250,00;0,00
1470;Otros deudores;0,00;22106250,00;22106250,00;0,00
147010;APORTES DE CAPITAL POR COBRAR;0,00;22106250,00;22106250,00;0,00
16;Propiedades  planta y equipo;6074196,00;0,00;0,00;6074196,00
1635;Bienes muebles en bodega;2059696,00;0,00;0,00;2059696,00
163504;Equipos de comunicación y computación;2059696,00;0,00;0,00;2059696,00
1665;Muebles  enseres y equipo de oficina;1705000,00;0,00;0,00;1705000,00
166501;Muebles y enseres;1145000,00;0,00;0,00;1145000,00
166590;Otros muebles  enseres y equipo de oficina;560000,00;0,00;0,00;560000,00
1670;Equipos de comunicación y computación;3100000,00;0,00;0,00;3100000,00
167001;Equipo de comunicación;860000,00;0,00;0,00;860000,00
167002;Equipo de computación;2240000,00;0,00;0,00;2240000,00
1685;Depreciación acumulada (cr);-790500,00;0,00;0,00;-790500,00
168506;Muebles  enseres y equipo de oficina;-170500,00;0,00;0,00;-170500,00
168507;Equipos de comunicación y computación;-620000,00;0,00;0,00;-620000,00
2;Pasivo;0,00;15873061,17;18212563,17;-2339502,00
24;Cuentas por pagar;0,00;3457390,17;5970226,17;-2512836,00
2425;Acreedores;0,00;3457390,17;5970226,17;-2512836,00
242504;Servicios públicos;0,00;327598,17;327598,17;0,00
242508;Viáticos y gastos de viaje;0,00;638028,00;638028,00;0,00
242510;Seguros;0,00;226200,00;226200,00;0,00
242518;Aportes a fondos  pensionales;0,00;908839,00;1894500,00;-985661,00
242519;Aportes a seguridad social en salud;0,00;644025,00;1808100,00;-1164075,00
242520;Aportes al icbf  sena y cajas de compensación;0,00;567000,00;847500,00;-280500,00
242532;Aporte riesgos profesionales;0,00;32300,00;58800,00;-26500,00
242541;Aportes a escuelas industriales  institutos técnicos y esap;0,00;113400,00;169500,00;-56100,00
25;Obligaciones laborales y de seguridad social integral;0,00;12415671,00;12242337,00;173334,00
2505;Salarios y prestaciones sociales;0,00;12415671,00;12242337,00;173334,00
250501;Nómina por pagar;0,00;8524578,00;11300967,00;-2776389,00
250502;Cesantías;0,00;627832,00;941370,00;-313538,00
250505;Prima de vacaciones;0,00;3263261,00;0,00;3263261,00
3;Patrimonio;-6116137,00;0,00;0,00;-6116137,00
31;Hacienda pública;-6116137,00;0,00;0,00;-6116137,00
3105;Capital fiscal;-6906637,00;0,00;0,00;-6906637,00
310504;Municipio;-6906637,00;0,00;0,00;-6906637,00
3128;Provisiones  agotamiento  depreciaciones y amortizaciones (db);790500,00;0,00;0,00;790500,00
312804;Depreciación de propiedades  planta y equipo;790500,00;0,00;0,00;790500,00
4;Ingresos;0,00;0,00;22106250,00;-22106250,00
47;Operaciones interinstitucionales;0,00;0,00;22106250,00;-22106250,00
4705;Fondos recibidos;0,00;0,00;22106250,00;-22106250,00
470508;Funcionamiento;0,00;0,00;22106250,00;-22106250,00
5;Gastos;0,00;17310253,17;0,00;17310253,17
51;De administración;0,00;17310253,17;0,00;17310253,17
5101;Sueldos y salarios;0,00;12880365,00;0,00;12880365,00
510101;Sueldos del personal;0,00;11167002,00;0,00;11167002,00
510124;Cesantías;0,00;941370,00;0,00;941370,00
510147;Viáticos;0,00;638028,00;0,00;638028,00
510160;Subsidio de alimentación;0,00;133965,00;0,00;133965,00
5103;Contribuciones efectivas;0,00;3222900,00;0,00;3222900,00
510302;Aportes a cajas de compensación familiar;0,00;452100,00;0,00;452100,00
510303;Cotizaciones a seguridad social en salud;0,00;1356000,00;0,00;1356000,00
510305;Cotizaciones a riesgos profesionales;0,00;58800,00;0,00;58800,00
510307;Cotizaciones a entidades administradoras del régimen de ahorro individual;0,00;1356000,00;0,00;1356000,00
5104;Aportes sobre la nómina;0,00;564900,00;0,00;564900,00
510401;Aportes al icbf;0,00;339000,00;0,00;339000,00
510402;Aportes al sena;0,00;56400,00;0,00;56400,00
510403;Aportes esap;0,00;56400,00;0,00;56400,00
510404;Aportes a escuelas industriales e institutos técnicos;0,00;113100,00;0,00;113100,00
5111;Generales;0,00;553798,17;0,00;553798,17
511123;Comunicaciones y transporte;0,00;327598,17;0,00;327598,17
511125;Seguros generales;0,00;226200,00;0,00;226200,00
5120;Impuestos  contribuciones y tasas;0,00;88290,00;0,00;88290,00
512024;Gravamen a los movimientos financieros;0,00;88290,00;0,00;88290,00
