08:18:56  <->PRI<->V<->SPID           <->USUARIO INICIA SESION EN EL SISTEMA               <->::1
15:48:08  <->HUM<->V<->SPID           <->INGRESO MODULO DE GESTION HUMANA                  <->::1
15:48:11  <->HUM<->V<->SPID           <->INGRESO MENU DE NOMINA                            <->::1
15:48:12  <->HUM<->V<->SPID           <->INGRESO BUSCAR RETENCIONES FUNCIONARIOS           <->::1
15:48:15  <->HUM<->V<->SPID           <->INGRESO CREAR RETENCION FUNCIONARIOS              <->::1
15:48:33  <->HUM<->V<->SPID           <->INGRESO MENU DE NOMINA                            <->::1
15:48:42  <->HUM<->V<->SPID           <->INGRESO MENU DE NOMINA                            <->::1
15:48:56  <->HUM<->V<->SPID           <->INGRESO MENU DE NOMINA                            <->::1
15:49:00  <->HUM<->V<->SPID           <->INGRESO BUSCAR TERCEROS NOMINA                    <->::1
15:49:03  <->HUM<->V<->SPID           <->INGRESO A CREAR TERCEROS NOMINA                   <->::1
15:49:06  <->HUM<->V<->SPID           <->INGRESO MENU DE NOMINA                            <->::1
15:49:20  <->HUM<->V<->SPID           <->INGRESO MENU DE NOMINA                            <->::1
15:49:26  <->HUM<->V<->SPID           <->INGRESO MENU DE NOMINA                            <->::1
15:49:31  <->HUM<->V<->SPID           <->INGRESO MENU DE NOMINA                            <->::1
15:49:41  <->HUM<->V<->SPID           <->INGRESO MENU DE NOMINA                            <->::1
17:04:41  <->HUM<->V<->SPID           <->INGRESO MENU DE NOMINA                            <->::1
